timestamp,si(t),a(t),mm(t),mt(t),mq(t),mr(t),r(t),cm(t),ct(t),cq(t),cr(t),em(t),et(t),q(t),zmm(t),zmt(t),zmq(t),zmr(t)
68.0,0.21322207529505294,51794.12935000893,5.314193813931614e-6,5.314193813931481e-6,5.314193813906729e-6,5.314193813931575e-6,10.592983840735368,0.0007917196348058791,0.0007917196348058604,0.0007917196348021891,0.0007917196348058707,0.6425877678891676,0.6425877678891617,0.6425877678885791,0.0,0.0,0.0,0.0
69.0,0.2132226384586864,55865.75506451861,5.432480504277666e-6,5.432480504277606e-6,5.432480504246582e-6,5.432480504277879e-6,10.623842425680936,0.0008114272452627757,0.0008114272452627681,0.0008114272452581542,0.0008114272452628044,0.6759350474533597,0.675935047453353,0.675935047452598,0.0,0.0,0.0,0.0
70.0,0.21321993666128716,60146.26177473724,5.549469098649705e-6,5.549469098649701e-6,5.5494690986110685e-6,5.549469098650056e-6,10.65546441338238,0.0008311189804595145,0.0008311189804595138,0.0008311189804537558,0.0008311189804595668,0.7101051264406604,0.7101051264406533,0.7101051264396823,0.0,0.0,0.0,0.0
71.0,0.2132213309551917,64640.6889190566,5.665184066974675e-6,5.66518406697465e-6,5.665184066926808e-6,5.66518406697507e-6,10.687848093056484,0.0008507943091299972,0.0008507943091299938,0.0008507943091228433,0.0008507943091300555,0.7450961585161197,0.7450961585161122,0.7450961585148721,0.0,0.0,0.0,0.0
72.0,0.21322047910022895,69354.05995044026,5.779602040340106e-6,5.779602040340039e-6,5.779602040281039e-6,5.7796020403403365e-6,10.720991756823016,0.0008704527773790064,0.000870452777378996,0.0008704527773701463,0.0008704527773790406,0.7809063008074959,0.7809063008074889,0.7809063008059147,0.0,0.0,0.0,0.0
73.0,0.21321923970408566,74291.38401786216,5.892717726167931e-6,5.892717726167824e-6,5.892717726095447e-6,5.892717726167985e-6,10.754893764210546,0.0008900940001153603,0.0008900940001153436,0.0008900940001044502,0.0008900940001153691,0.8175337833987862,0.8175337833987797,0.8175337833967944,0.0,0.0,0.0,0.0
74.0,0.21321876037438356,79457.65323897662,6.004525172137657e-6,6.004525172137534e-6,6.004525172049218e-6,6.004525172137658e-6,10.789552469069866,0.0009097176143154171,0.000909717614315398,0.0009097176143020647,0.0009097176143154184,0.8549768303490938,0.8549768303490878,0.8549768303465987,0.0,0.0,0.0,0.0
75.0,0.21321947771867955,84857.84270011837,6.115017766186378e-6,6.115017766186271e-6,6.115017766079042e-6,6.115017766186511e-6,10.824966219573998,0.0009293232790230752,0.0009293232790230593,0.0009293232790068236,0.000929323279023096,0.8932336596926286,0.8932336596926226,0.8932336596895185,0.0,0.0,0.0,0.0
76.0,0.21322111734446547,90496.91045630252,6.224188236508767e-6,6.224188236508708e-6,6.224188236379103e-6,6.2241882365092105e-6,10.861133358218193,0.0009489106753497723,0.0009489106753497651,0.0009489106753300847,0.0009489106753498391,0.9323024834387067,0.9323024834387005,0.9323024834348481,0.0,0.0,0.0,0.0
77.0,0.21322269385916834,96379.79753122457,6.332028651557077e-6,6.332028651557092e-6,6.332028651401088e-6,6.332028651557937e-6,10.898052221819936,0.0009684795064744867,0.0009684795064744915,0.00096847950645073,0.0009684795064746153,0.9721815075717509,0.9721815075717438,0.972181507566985,0.0,0.0,0.0,0.0
78.0,0.21322251087015012,102511.42791726044,6.438530420041146e-6,6.4385304200412404e-6,6.438530419854188e-6,6.438530420042382e-6,10.935721141518938,0.000988029497643736,0.000988029497643753,0.0009880294976151657,0.0009880294976439225,1.0128689320512905,1.0128689320512827,1.0128689320454298,0.0,0.0,0.0,0.0
79.0,0.21321958473442754,108896.70896543814,6.543684978829879e-6,6.5436849788300415e-6,6.543684978606562e-6,6.543684978831236e-6,10.97413844783516,0.0010075603991331796,0.001007560399133205,0.0010075603990989325,0.0010075603991333878,1.0543629562767454,1.0543629562767374,1.054362956269571,0.0,0.0,0.0,0.0
80.0,0.21322136691384122,115540.53052733057,6.647497618451959e-6,6.647497618452182e-6,6.6474976181860465e-6,6.647497618453309e-6,11.013302490000664,0.0010270719754914561,0.0010270719754914897,0.0010270719754505496,0.001027071975491665,1.0966617998787542,1.0966617998787478,1.096661799870007,0.0,0.0,0.0,0.0
81.0,0.2132210609167956,122447.76339462478,6.749964094395746e-6,6.749964094395959e-6,6.7499640940802514e-6,6.749964094397167e-6,11.053211586975806,0.0010465639918903968,0.001046563991890429,0.001046563991841656,0.0010465639918906177,1.1397636498609194,1.1397636498609138,1.1397636498502997,0.0,0.0,0.0,0.0
82.0,0.21321993447733636,129623.26542153112,6.8510775406795176e-6,6.851077540679698e-6,6.851077540306529e-6,6.851077540681033e-6,11.093864093216196,0.001066036260913361,0.0010660362609133884,0.0010660362608554878,0.001066036260913597,1.1836667316914182,1.1836667316914131,1.1836667316785787,0.0,0.0,0.0,0.0
83.0,0.21321890796405493,137071.87629610457,6.95083246806046e-6,6.9508324680606146e-6,6.950832467621012e-6,6.950832468062048e-6,11.135258352530547,0.0010854886007839453,0.001085488600783969,0.0010854886007154846,0.001085488600784193,1.228369259386509,1.2283692593865043,1.2283692593710438,0.0,0.0,0.0,0.0
